Exposure,Outcome,G_hat
ENSG00000142657,ENSG00000087302,0.030149668269321417
ENSG00000142657,ENSG00000171490,-0.01606311346651257
ENSG00000142657,ENSG00000130816,0.04102717611202174
ENSG00000120948,ENSG00000133226,0.02692718846642077
ENSG00000120948,ENSG00000159352,-0.03122919769691288
ENSG00000120948,ENSG00000241553,-0.029232104720647835
ENSG00000120948,ENSG00000250361,-0.033386091463334114
ENSG00000120948,ENSG00000157778,0.019564410016688
ENSG00000120948,ENSG00000134884,0.044303017673083
ENSG00000120948,ENSG00000140307,-0.04074456586433109
ENSG00000120948,ENSG00000167522,0.09904938243882327
ENSG00000120948,ENSG00000129351,0.016215879204395135
ENSG00000120948,ENSG00000203618,0.08102343700572716
ENSG00000116649,ENSG00000074800,0.07313462972356805
ENSG00000116649,ENSG00000004455,0.025177033392346424
ENSG00000116649,ENSG00000138071,-0.01637755126337418
ENSG00000116649,ENSG00000118640,0.0769954224977607
ENSG00000116649,ENSG00000188846,-0.023196089151258238
ENSG00000116649,ENSG00000172795,-0.026946476684472996
ENSG00000116649,ENSG00000106615,0.17143288746705837
ENSG00000116649,ENSG00000107937,0.015043036283382724
ENSG00000116649,ENSG00000171314,0.04916430672816149
ENSG00000116649,ENSG00000166900,0.20154572766948653
ENSG00000116649,ENSG00000069482,0.09363733364329657
ENSG00000116649,ENSG00000111237,0.03154635571163925
ENSG00000116649,ENSG00000123200,-0.016484213990729146
ENSG00000116649,ENSG00000074071,0.03621283557195709
ENSG00000116649,ENSG00000217930,0.02018866635934132
ENSG00000116649,ENSG00000132507,0.049272202963643576
ENSG00000116649,ENSG00000108298,-0.028522695634529485
ENSG00000116649,ENSG00000130203,-0.03520981185721871
ENSG00000116649,ENSG00000198034,-0.02268647957224262
ENSG00000116670,ENSG00000174780,0.028372696923698208
ENSG00000116670,ENSG00000254772,-0.02934838696975705
ENSG00000065526,ENSG00000113013,-0.015823268744325096
ENSG00000065526,ENSG00000120533,0.030699680411902283
ENSG00000053372,ENSG00000115053,0.05741722385684393
ENSG00000053372,ENSG00000111615,-0.022513110566379595
ENSG00000053372,ENSG00000171490,0.016539059442716282
